Alabama	Autauga	5	0
Alabama	Baldwin	4	0
Alabama	Blount	2	0
Alabama	Butler	1	0
Alabama	Calhoun	2	0
Alabama	Chambers	10	0
Alabama	Cherokee	1	0
Alabama	Chilton	4	0
Alabama	Clay	1	0
Alabama	Cleburne	1	0
Alabama	Coffee	1	0
Alabama	Colbert	1	0
Alabama	Coosa	1	0
Alabama	Cullman	6	0
Alabama	Dallas	2	0
Alabama	DeKalb	1	0
Alabama	Elmore	10	0
Alabama	Etowah	3	0
Alabama	Franklin	2	0
Alabama	Houston	2	0
Alabama	Jackson	2	1
Alabama	Jefferson	141	0
Alabama	Lamar	1	0
Alabama	Lauderdale	7	0
Alabama	Lawrence	1	0
Alabama	Lee	44	0
Alabama	Limestone	10	0
Alabama	Lowndes	1	0
Alabama	Madison	37	0
Alabama	Marengo	1	0
Alabama	Marion	5	0
Alabama	Marshall	3	0
Alabama	Mobile	13	0
Alabama	Montgomery	16	0
Alabama	Morgan	7	0
Alabama	Pickens	1	0
Alabama	Pike	1	0
Alabama	Russell	1	0
Alabama	Shelby	48	0
Alabama	St. Clair	6	0
Alabama	Talladega	3	0
Alabama	Tallapoosa	4	0
Alabama	Tuscaloosa	17	0
Alabama	Walker	17	0
Alabama	Washington	1	0
Alabama	Wilcox	1	0
Alaska	Anchorage	28	0
Alaska	Fairbanks North Star Borough	11	0
Alaska	Juneau City and Borough	2	0
Alaska	Kenai Peninsula Borough	5	0
Alaska	Ketchikan Gateway Borough	11	0
Alaska	Matanuska-Susitna Borough	2	0
Arizona	Apache	9	0
Arizona	Cochise	2	0
Arizona	Coconino	28	2
Arizona	Graham	2	0
Arizona	La Paz	2	0
Arizona	Maricopa	299	4
Arizona	Mohave	2	0
Arizona	Navajo	43	0
Arizona	Pima	75	0
Arizona	Pinal	35	0
Arizona	Santa Cruz	2	0
Arizona	Unknown	0	2
Arizona	Yavapai	5	0
Arizona	Yuma	4	0
Arkansas	Benton	18	0
Arkansas	Boone	1	0
Arkansas	Bradley	4	0
Arkansas	Clark	13	0
Arkansas	Cleburne	40	1
Arkansas	Cleveland	4	0
Arkansas	Columbia	1	0
